signal_date,ticker,market,industry,grade,score,vol_ratio,day_chg_pct,gap_pct,close_strength,rsi,close_price,flags,t5_return_pct,t10_return_pct
2026-03-09,4973,TPEx,半導體業,SURGE_ALPHA,60,2.59,9.9,1.43,1.0,42.8,45.46036911010742,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.59x|CLOSE_STRONG:1.00|IND_HOT:100|POCKET_PIVOT|GAP_FULL:1.4%|RS:+14.3%|RSI_WEAK:42.8|BB_WIDE:0.241,60.48,72.86
2026-03-09,5351,TPEx,半導體業,SURGE_GAMMA,39,2.45,7.2,-1.75,0.86,42.3,55.099998474121094,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.45x|CLOSE_STRONG:0.86|IND_HOT:98|RS:+11.6%|RSI_WEAK:42.3|BB_WIDE:0.219,27.22,35.21
2026-03-09,6683,TPEx,半導體業,SURGE_BETA,44,2.79,-1.1,-9.92,0.89,61.5,897.0,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.79x|CLOSE_STRONG:0.89|IND_HOT:91|RS:+3.3%|RSI_HEALTHY:61.5|BB_WIDE:0.557,25.98,29.32
2026-03-10,4303,TPEx,塑膠工業,SURGE_ALPHA,60,2.25,9.88,2.57,1.0,28.0,55.599998474121094,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.25x|CLOSE_STRONG:1.00|IND_HOT:100|POCKET_PIVOT|GAP_FULL:2.6%|RS:+7.8%|RSI_WEAK:28.0|BB_WIDE:0.164,7.91,-1.98
2026-03-10,4973,TPEx,半導體業,SURGE_ALPHA,61,1.8,9.88,7.38,1.0,55.2,49.952110290527344,SURGE_GATE_PASS|SURGE_DAY2|VOL_MILD:1.80x|CLOSE_STRONG:1.00|IND_HOT:96|POCKET_PIVOT|GAP_FULL:7.4%|RS:+7.8%|RSI_HEALTHY:55.2|BB_WIDE:0.238,60.47,41.7
2026-03-10,5340,TPEx,電子零組件業,SURGE_ALPHA,56,1.73,9.52,7.14,0.93,44.8,115.0,SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.73x|CLOSE_STRONG:0.93|IND_HOT:96|POCKET_PIVOT|GAP_FULL:7.1%|RS:+7.5%|RSI_WEAK:44.8|BB_WIDE:0.252,-5.22,-13.74
2026-03-10,6435,TPEx,半導體業,SURGE_ALPHA,55,3.02,8.77,3.51,0.85,51.8,155.0,SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.02x|CLOSE_STRONG:0.85|IND_HOT:92|POCKET_PIVOT|GAP_FULL:3.5%|RS:+6.7%|RSI_WEAK:51.8|BB_WIDE:0.206,8.06,8.71
2026-03-10,8064,TPEx,光電業,SURGE_BETA,53,2.58,3.44,3.24,0.62,40.6,51.099998474121094,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.58x|CLOSE_HEALTHY:0.62|IND_HOT:84|POCKET_PIVOT|GAP_PARTIAL:3.2%|RS:+1.4%|RSI_WEAK:40.6|BB_WIDE:0.236,28.77,26.42
2026-03-10,8096,TPEx,電子通路業,SURGE_ALPHA,56,1.62,9.92,4.96,1.0,47.7,70.9000015258789,SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.62x|CLOSE_STRONG:1.00|IND_HOT:100|POCKET_PIVOT|GAP_FULL:5.0%|RS:+7.9%|RSI_WEAK:47.7|BB_WIDE:0.287,14.25,20.87
2026-03-11,2323,TSE,光電業,SURGE_ALPHA,58,1.91,6.6,1.42,0.79,57.9,11.300000190734863,SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.91x|CLOSE_HEALTHY:0.79|IND_HOT:82|POCKET_PIVOT|GAP_FULL:1.4%|RS:+2.5%|RSI_HEALTHY:57.9|BB_WIDE:0.158,-2.65,4.87
